Challenges_16,ResponsesBinary_16,ChallengeDecimal,ResponseDecimal
0000000000000000,0000001001110100,0,628
0000000000000001,0111001010001001,1,29321
0000000000000010,0100010001111011,2,17531
0000000000000011,0010110101101100,3,11628
0000000000000100,1110101111101010,4,60394
0000000000000101,1101111000100100,5,56868
0000000000000110,1101110010100000,6,56480
0000000000000111,0000001110110111,7,951
0000000000001000,1001010011101100,8,38124
0000000000001001,1011011110101110,9,47022
0000000000001010,1100111100010010,10,53010
0000000000001011,0101000001001010,11,20554
0000000000001100,0101000001000000,12,20544
0000000000001101,0010111111001001,13,12233
0000000000001110,1100110101000011,14,52547
0000000000001111,0010011100000011,15,9987
0000000000010000,1100011011101101,16,50925
0000000000010001,1000110011000110,17,36038
0000000000010010,0101011111110000,18,22512
0000000000010011,0100100010111010,19,18618
0000000000010100,1001011101111010,20,38778
0000000000010101,0100001101010010,21,17234
0000000000010110,0001011000110110,22,5686
0000000000010111,1011110110100110,23,48550
0000000000011000,0110000011111101,24,24829
0000000000011001,0100100010001001,25,18569
0000000000011010,1110001101100110,26,58214
0000000000011011,1010101011100111,27,43751
0000000000011100,0011000110111111,28,12735
0000000000011101,1110111110110111,29,61367
0000000000011110,1111111101100010,30,65378
0000000000011111,0101000101111011,31,20859
0000000000100000,1001111111010100,32,40916
0000000000100001,1001101111111000,33,39928
0000000000100010,0100011010011011,34,18075
0000000000100011,0101001011000000,35,21184
0000000000100100,0001110111100100,36,7652
0000000000100101,1010110100110100,37,44340
0000000000100110,1001110011110110,38,40182
0000000000100111,1110000111110011,39,57843
0000000000101000,1110011011000110,40,59078
0000000000101001,0111001010001110,41,29326
0000000000101010,1110010100000000,42,58624
0000000000101011,1111101100100100,43,64292
0000000000101100,0010001100000000,44,8960
0000000000101101,0010111110100101,45,12197
0000000000101110,0011101101110101,46,15221
0000000000101111,1001101111010101,47,39893
0000000000110000,1100001111010101,48,50133
0000000000110001,1101111110000100,49,57220
0000000000110010,0000000100111000,50,312
0000000000110011,0101111111000110,51,24518
0000000000110100,0100000001001101,52,16461
0000000000110101,0101011000011100,53,22044
0000000000110110,1000101001011111,54,35423
0000000000110111,1110100011001000,55,59592
0000000000111000,1010111111100110,56,45030
0000000000111001,0011000001010011,57,12371
0000000000111010,0000100011011010,58,2266
0000000000111011,1110101010000100,59,60036
0000000000111100,0101001101001000,60,21320
0000000000111101,1101110001001100,61,56396
0000000000111110,0100101010110111,62,19127
0000000000111111,1000101111101000,63,35816
0000000001000000,1000110110100000,64,36256
0000000001000001,0000001010010101,65,661
0000000001000010,1011101001110101,66,47733
0000000001000011,0101110110010100,67,23956
0000000001000100,0100100011100011,68,18659
0000000001000101,0111010001111111,69,29823
0000000001000110,1010111011000011,70,44739
0000000001000111,0011100000000111,71,14343
0000000001001000,0101000010110111,72,20663
0000000001001001,0011011000101111,73,13871
0000000001001010,0011110100110111,74,15671
0000000001001011,1000010111111011,75,34299
0000000001001100,1001100000001101,76,38925
0000000001001101,1110110001111110,77,60542
0000000001001110,0001011000001011,78,5643
0000000001001111,1100111100110000,79,53040
0000000001010000,0000010110001000,80,1416
0000000001010001,1110010100001000,81,58632
0000000001010010,0000000111010001,82,465
0000000001010011,0110100110111010,83,27066
0000000001010100,0010010100000110,84,9478
0000000001010101,1000101000110000,85,35376
0000000001010110,0010100011000000,86,10432
0000000001010111,0001001100100110,87,4902
0000000001011000,0011100011011001,88,14553
0000000001011001,1000110100010011,89,36115
0000000001011010,1110011101011011,90,59227
0000000001011011,0101011011101010,91,22250
0000000001011100,0010010110100001,92,9633
0000000001011101,1010010111000110,93,42438
0000000001011110,0000110100100111,94,3367
