		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 1.205078	M = 625	N = 8	m = 9	n = 5000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    1    1    1    0    2    1    2    2  2.979349 0.935647 SUCCESS   0
000000011    1    2    3    0    1    1    2    2  5.673606 0.683739 SUCCESS   1
000000101    1    0    3    0    2    1    1    2  6.368685 0.606007 SUCCESS   2
000000111    0    1    3    0    1    1    0    2  7.063764 0.529769 SUCCESS   3
000001001    2    0    1    1    2    3    4    1 11.757201 0.162370 SUCCESS   4
000001011    1    1    2    0    3    1    2    2  5.673606 0.683739 SUCCESS   5
000001101    1    3    1    1    0    4    3    0 14.646743 0.066389 SUCCESS   6
000001111    0    1    1    1    1    2    0    2  3.674427 0.885239 SUCCESS   7
000010001    2    1    1    2    4    0    1    0 10.257817 0.247395 SUCCESS   8
000010011    2    0    1    0    2    1    4    2 10.757611 0.215815 SUCCESS   9
000010101    1    1    1    2    2    1    0    2  2.979349 0.935647 SUCCESS  10
000010111    2    1    3    0    3    3    1    1 10.062533 0.260664 SUCCESS  11
000011001    0    1    1    2    2    2    0    3  6.868480 0.550887 SUCCESS  12
000011011    2    2    1    1    0    1    1    0  3.674427 0.885239 SUCCESS  13
000011101    0    1    2    0    2    1    2    1  4.174222 0.841072 SUCCESS  14
000011111    1    1    0    1    3    3    1    1  6.868480 0.550887 SUCCESS  15
000100011    1    0    1    0    4    1    2    1  9.758022 0.282422 SUCCESS  16
000100101    3    1    1    3    1    2    0    2  7.868069 0.446463 SUCCESS  17
000100111    1    0    1    0    1    0    1    0  5.064585 0.750651 SUCCESS  18
000101001    3    0    1    0    1    0    1    1  6.563969 0.584321 SUCCESS  19
000101011    1    0    2    1    1    1    0    2  3.674427 0.885239 SUCCESS  20
000101101    2    1    0    2    1    2    1    1  2.979349 0.935647 SUCCESS  21
000101111    1    3    2    0    1    1    2    1  5.173812 0.738848 SUCCESS  22
000110011    2    1    0    3    1    2    0    1  6.368685 0.606007 SUCCESS  23
000110101    0    2    1    2    2    1    4    0 10.757611 0.215815 SUCCESS  24
000110111    4    0    1    0    1    1    2    1  9.758022 0.282422 SUCCESS  25
000111001    1    0    3    1    1    1    0    0  6.563969 0.584321 SUCCESS  26
000111011    1    1    1    0    2    2    1    0  3.674427 0.885239 SUCCESS  27
000111101    0    2    1    4    1    0    2    1 10.257817 0.247395 SUCCESS  28
000111111    1    3    0    0    2    1    3    2  9.062943 0.337014 SUCCESS  29
001000011    3    0    0    2    3    1    0    2 10.257817 0.247395 SUCCESS  30
001000101    2    3    0    2    2    0    1    0  8.063354 0.427306 SUCCESS  31
001000111    0    1    0    0    3    0    1    1  7.758843 0.457375 SUCCESS  32
001001011    2    1    2    1    1    2    1    2  2.284270 0.971033 SUCCESS  33
001001101    2    0    0    1    1    1    2    2  4.174222 0.841072 SUCCESS  34
001001111    0    0    2    0    1    2    2    0  6.563969 0.584321 SUCCESS  35
001010011    2    0    0    1    0    0    3    1  8.258638 0.408622 SUCCESS  36
001010101    0    3    6    3    0    2    0    0 30.398552 0.000180 FAILURE  37
001010111    0    1    2    1    1    0    0    3  7.063764 0.529769 SUCCESS  38
001011011    1    2    0    1    1    2    0    0  4.869301 0.771450 SUCCESS  39
001011101    2    0    2    2    4    2    2    4 17.145716 0.028627 SUCCESS  40
001011111    1    2    3    1    0    0    0    0  8.258638 0.408622 SUCCESS  41
001100101    0    1    3    0    1    1    0    2  7.063764 0.529769 SUCCESS  42
001100111    1    2    0    3    2    3    0    1  9.062943 0.337014 SUCCESS  43
001101011    0    2    0    2    0    1    2    0  6.563969 0.584321 SUCCESS  44
001101101    1    1    2    3    1    1    2    1  3.978938 0.859019 SUCCESS  45
001101111    2    0    1    0    0    2    3    3 10.257817 0.247395 SUCCESS  46
001110101    0    1    1    1    0    0    2    0  5.564380 0.695897 SUCCESS  47
001110111    0    1    3    2    1    4    1    0 12.452280 0.132136 SUCCESS  48
001111011    0    4    0    0    1    0    1    0 12.842848 0.117372 SUCCESS  49
001111101    0    0    2    2    2    4    2    1 11.257406 0.187536 SUCCESS  50
001111111    1    2    0    0    0    0    2    1  6.064175 0.640043 SUCCESS  51
010000011    0    2    0    2    0    2    0    0  7.758843 0.457375 SUCCESS  52
010000111    2    0    0    0    3    1    0    1  8.258638 0.408622 SUCCESS  53
010001011    2    3    1    1    1    0    1    1  4.674017 0.791781 SUCCESS  54
010001111    0    3    1    0    1    2    2    2  6.868480 0.550887 SUCCESS  55
010010011    1    1    0    1    1    1    2    0  3.174633 0.922925 SUCCESS  56
010010111    2    0    1    2    1    2    1    3  5.673606 0.683739 SUCCESS  57
010011011    2    0    0    1    0    1    4    2 11.452690 0.177344 SUCCESS  58
010011111    1    1    0    0    1    2    3    1  5.868891 0.661915 SUCCESS  59
010100011    2    3    1    0    1    2    1    0  6.368685 0.606007 SUCCESS  60
010100111    0    0    1    2    1    0    1    1  4.369506 0.822342 SUCCESS  61
010101011    0    2    5    2    0    1    0    1 17.036490 0.029731 SUCCESS  62
010101111    0    0    2    2    1    0    0    3  8.758432 0.363082 SUCCESS  63
010110011    0    1    2    0    1    0    0    3  8.258638 0.408622 SUCCESS  64
010110111    0    1    0    0    1    1    0    0  6.259459 0.618194 SUCCESS  65
010111011    2    1    2    1    3    2    1    2  4.978528 0.759869 SUCCESS  66
010111111    0    3    1    3    0    0    0    1 10.453101 0.234652 SUCCESS  67
011000111    3    3    1    2    1    0    2    0  9.062943 0.337014 SUCCESS  68
011001111    2    3    0    2    1    0    1    1  6.368685 0.606007 SUCCESS  69
011010111    0    2    1    2    1    2    2    1  3.479143 0.900802 SUCCESS  70
011011111    1    1    0    1    1    1    3    3  6.868480 0.550887 SUCCESS  71
011101111    2    1    3    0    3    3    0    0 12.452280 0.132136 SUCCESS  72
011111111    0    2    0    1    1    0    2    0  6.064175 0.640043 SUCCESS  73
100000000    1    1    1    0    2    1    2    2  2.979349 0.935647 SUCCESS  74
100010000    2    1    1    1    3    1    0    0  5.868891 0.661915 SUCCESS  75
100100000    1    3    1    0    2    1    1    3  7.368275 0.497469 SUCCESS  76
100101000    2    3    2    1    1    4    1    1 10.562327 0.227752 SUCCESS  77
100110000    1    0    2    1    1    0    3    3  8.563148 0.380476 SUCCESS  78
100111000    1    0    2    2    3    0    1    1  6.368685 0.606007 SUCCESS  79
101000000    2    1    1    1    1    1    2    3  3.978938 0.859019 SUCCESS  80
101000100    3    1    1    1    2    3    0    4 13.951664 0.083034 SUCCESS  81
101001000    2    3    2    2    1    1    0    1  5.673606 0.683739 SUCCESS  82
101001100    4    0    1    2    3    1    3    1 13.951664 0.083034 SUCCESS  83
101010000    0    0    0    1    0    1    0    1  6.259459 0.618194 SUCCESS  84
101010100    2    2    3    1    0    1    2    0  6.868480 0.550887 SUCCESS  85
101011000    1    2    1    2    1    0    1    0  3.674427 0.885239 SUCCESS  86
101011100    0    1    3    1    0    0    1    0  7.758843 0.457375 SUCCESS  87
101100000    0    0    4    0    1    2    5    0 24.314958 0.002029 FAILURE  88
101100100    1    0    2    0    3    1    3    0  9.758022 0.282422 SUCCESS  89
101101000    1    0    0    0    1    2    0    1  5.564380 0.695897 SUCCESS  90
101101100    0    2    1    3    3    2    4    0 15.646332 0.047731 SUCCESS  91
101110000    2    1    0    4    2    3    1    0 12.952074 0.113509 SUCCESS  92
101110100    2    3    2    3    1    2    1    1  7.172991 0.518089 SUCCESS  93
101111000    0    0    1    1    1    2    0    1  4.369506 0.822342 SUCCESS  94
101111100    3    1    4    1    1    2    0    1 11.257406 0.187536 SUCCESS  95
110000000    1    0    4    0    1    1    2    1  9.758022 0.282422 SUCCESS  96
110000010    1    1    1    0    2    3    2    0  6.368685 0.606007 SUCCESS  97
110000100    3    1    1    1    2    1    0    2  5.173812 0.738848 SUCCESS  98
110001000    1    1    0    1    3    1    2    0  5.868891 0.661915 SUCCESS  99
110001010    2    2    3    2    1    1    0    2  6.173401 0.627815 SUCCESS 100
110010000    0    0    0    0    2    0    1    3  9.453511 0.305493 SUCCESS 101
110010010    3    2    1    1    1    1    3    2  6.673196 0.572267 SUCCESS 102
110010100    0    2    4    0    1    4    2    1 16.841206 0.031806 SUCCESS 103
110011000    5    1    0    2    1    0    0    2 17.036490 0.029731 SUCCESS 104
110011010    2    2    0    1    1    2    0    1  4.174222 0.841072 SUCCESS 105
110100000    2    1    1    3    1    3    2    2  7.172991 0.518089 SUCCESS 106
110100010    2    0    2    0    2    2    0    1  5.868891 0.661915 SUCCESS 107
110100100    1    4    1    1    0    1    1    1  8.063354 0.427306 SUCCESS 108
110101000    0    2    0    2    0    1    1    3  7.563559 0.477220 SUCCESS 109
110101010    2    1    2    0    0    0    2    1  5.369096 0.717496 SUCCESS 110
110101100    0    1    1    0    0    0    1    2  5.564380 0.695897 SUCCESS 111
110110000    0    1    2    1    1    3    5    1 16.841206 0.031806 SUCCESS 112
110110010    1    2    1    0    4    2    2    1  9.562738 0.297066 SUCCESS 113
110110100    0    1    1    0    0    2    1    1  4.369506 0.822342 SUCCESS 114
110111000    1    2    0    3    2    2    1    1  5.673606 0.683739 SUCCESS 115
110111010    1    0    0    0    1    2    1    0  5.564380 0.695897 SUCCESS 116
110111100    0    0    1    1    0    1    0    1  5.064585 0.750651 SUCCESS 117
111000000    1    0    0    1    0    2    1    2  4.869301 0.771450 SUCCESS 118
111000010    2    1    0    3    2    1    0    0  7.563559 0.477220 SUCCESS 119
111000100    0    1    0    1    3    0    0    0  8.953716 0.346215 SUCCESS 120
111000110    1    1    2    0    2    0    0    2  5.369096 0.717496 SUCCESS 121
111001000    0    1    1    0    1    0    0    1  5.064585 0.750651 SUCCESS 122
111001010    1    1    2    0    1    1    2    1  2.479554 0.962678 SUCCESS 123
111001100    2    1    1    0    1    0    0    0  5.564380 0.695897 SUCCESS 124
111010000    1    1    2    2    1    2    2    3  4.978528 0.759869 SUCCESS 125
111010010    1    3    1    1    1    0    0    1  5.369096 0.717496 SUCCESS 126
111010100    1    1    0    2    0    0    2    1  4.869301 0.771450 SUCCESS 127
111010110    0    1    0    1    2    0    1    2  4.869301 0.771450 SUCCESS 128
111011000    2    0    1    0    1    2    2    1  4.174222 0.841072 SUCCESS 129
111011010    1    2    2    0    0    2    1    2  4.674017 0.791781 SUCCESS 130
111011100    0    4    1    4    1    2    3    1 17.840795 0.022452 SUCCESS 131
111100000    0    2    2    0    1    3    0    1  7.563559 0.477220 SUCCESS 132
111100010    1    1    2    1    1    1    0    1  1.979759 0.981626 SUCCESS 133
111100100    2    1    2    1    0    1    0    0  4.869301 0.771450 SUCCESS 134
111100110    3    2    0    0    1    0    0    2  8.758432 0.363082 SUCCESS 135
111101000    1    1    2    3    2    2    2    3  7.672785 0.466068 SUCCESS 136
111101010    1    1    0    1    0    0    1    0  5.064585 0.750651 SUCCESS 137
111101100    1    1    0    0    2    2    2    0  5.369096 0.717496 SUCCESS 138
111101110    0    3    0    1    0    2    2    1  7.563559 0.477220 SUCCESS 139
111110000    1    2    2    1    1    1    0    0  3.674427 0.885239 SUCCESS 140
111110010    2    2    0    0    1    1    1    0  4.869301 0.771450 SUCCESS 141
111110100    0    2    1    1    2    2    1    1  2.979349 0.935647 SUCCESS 142
111110110    2    2    2    1    1    3    3    1  7.172991 0.518089 SUCCESS 143
111111000    1    2    0    1    0    1    1    1  3.174633 0.922925 SUCCESS 144
111111010    0    4    0    2    1    0    1    2 11.452690 0.177344 SUCCESS 145
111111100    1    1    0    0    1    0    1    1  3.869712 0.868683 SUCCESS 146
111111110    0    2    0    1    1    0    2    0  6.064175 0.640043 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 1.205078	M = 625	N = 8	m = 9	n = 5000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    4    1    2    0    3    2    0    1 12.952074 0.113509 SUCCESS   0
000000011    4    0    3    0    1    0    0    2 14.842027 0.062291 SUCCESS   1
000000101    2    0    0    0    2    3    2    1  8.063354 0.427306 SUCCESS   2
000000111    1    0    2    2    2    1    1    3  5.673606 0.683739 SUCCESS   3
000001001    0    0    1    1    2    0    1    2  4.869301 0.771450 SUCCESS   4
000001011    1    0    0    2    2    1    2    2  4.674017 0.791781 SUCCESS   5
000001101    2    0    4    0    2    1    0    0 12.647564 0.124565 SUCCESS   6
000001111    3    0    1    2    1    2    0    2  6.868480 0.550887 SUCCESS   7
000010001    0    2    2    1    1    2    1    2  3.479143 0.900802 SUCCESS   8
000010011    0    0    0    1    2    0    0    0  7.954127 0.437964 SUCCESS   9
000010101    2    0    1    0    1    2    2    0  5.369096 0.717496 SUCCESS  10
000010111    0    1    0    2    2    0    2    1  5.369096 0.717496 SUCCESS  11
000011001    0    1    0    2    2    0    1    0  6.064175 0.640043 SUCCESS  12
000011011    1    0    1    1    2    3    0    0  7.063764 0.529769 SUCCESS  13
000011101    2    3    1    2    0    0    3    2  9.562738 0.297066 SUCCESS  14
000011111    2    2    1    3    1    0    0    2  6.868480 0.550887 SUCCESS  15
000100011    0    1    4    1    3    0    3    1 14.646743 0.066389 SUCCESS  16
000100101    0    2    1    1    1    0    1    2  3.674427 0.885239 SUCCESS  17
000100111    0    1    1    3    2    0    0    0  8.258638 0.408622 SUCCESS  18
000101001    2    0    0    1    1    5    3    3 20.730337 0.007899 FAILURE  19
000101011    2    1    3    1    1    3    1    0  7.368275 0.497469 SUCCESS  20
000101101    2    1    2    1    1    1    1    2  1.784475 0.986921 SUCCESS  21
000101111    2    1    1    2    0    0    1    1  3.674427 0.885239 SUCCESS  22
000110011    0    2    1    1    0    0    1    0  5.564380 0.695897 SUCCESS  23
000110101    1    1    1    0    1    1    0    3  5.369096 0.717496 SUCCESS  24
000110111    1    1    1    0    2    3    0    0  7.063764 0.529769 SUCCESS  25
000111001    1    2    5    1    2    1    1    3 16.146127 0.040336 SUCCESS  26
000111011    1    3    1    2    0    1    1    0  5.868891 0.661915 SUCCESS  27
000111101    3    1    0    0    1    1    0    2  7.063764 0.529769 SUCCESS  28
000111111    2    2    4    2    0    1    3    3 14.951253 0.060100 SUCCESS  29
001000011    0    3    0    2    1    1    0    2  7.563559 0.477220 SUCCESS  30
001000101    2    1    2    1    0    5    1    1 14.646743 0.066389 SUCCESS  31
001000111    3    2    4    0    3    3    2    2 17.645511 0.024047 SUCCESS  32
001001011    1    1    1    0    0    0    2    2  4.869301 0.771450 SUCCESS  33
001001101    0    2    1    0    3    1    7    0 35.482557 0.000022 FAILURE  34
001001111    1    2    2    4    0    0    0    1 11.452690 0.177344 SUCCESS  35
001010011    3    1    0    1    1    4    3    3 16.146127 0.040336 SUCCESS  36
001010101    3    0    0    2    1    1    1    1  5.868891 0.661915 SUCCESS  37
001010111    1    1    3    1    2    1    1    0  4.674017 0.791781 SUCCESS  38
001011011    1    3    2    2    1    3    2    0  8.367864 0.398385 SUCCESS  39
001011101    2    2    0    1    1    3    1    1  5.173812 0.738848 SUCCESS  40
001011111    2    2    2    2    0    0    1    0  5.868891 0.661915 SUCCESS  41
001100101    1    3    0    1    1    2    1    0  5.868891 0.661915 SUCCESS  42
001100111    0    1    0    0    0    2    1    1  5.564380 0.695897 SUCCESS  43
001101011    0    2    1    1    2    1    1    4  9.062943 0.337014 SUCCESS  44
001101101    1    2    1    1    2    2    2    0  3.479143 0.900802 SUCCESS  45
001101111    2    1    1    0    3    3    0    1  8.563148 0.380476 SUCCESS  46
001110101    3    1    3    2    2    0    2    1  8.367864 0.398385 SUCCESS  47
001110111    0    4    0    2    1    0    1    0 12.147769 0.144732 SUCCESS  48
001111011    3    2    1    0    1    2    1    1  5.173812 0.738848 SUCCESS  49
001111101    0    1    1    1    3    1    1    2  4.674017 0.791781 SUCCESS  50
001111111    0    1    2    2    0    2    2    3  7.368275 0.497469 SUCCESS  51
010000011    1    2    2    1    1    1    3    3  6.673196 0.572267 SUCCESS  52
010000111    2    2    0    3    2    1    0    3  9.562738 0.297066 SUCCESS  53
010001011    2    0    1    2    0    2    0    0  6.563969 0.584321 SUCCESS  54
010001111    3    2    2    0    1    2    2    0  7.368275 0.497469 SUCCESS  55
010010011    0    2    1    0    0    0    4    1 12.147769 0.144732 SUCCESS  56
010010111    3    1    2    0    0    1    1    1  5.868891 0.661915 SUCCESS  57
010011011    1    1    1    0    3    2    4    0 12.452280 0.132136 SUCCESS  58
010011111    1    1    1    2    0    0    1    0  4.369506 0.822342 SUCCESS  59
010100011    1    1    1    2    0    0    1    1  3.174633 0.922925 SUCCESS  60
010100111    1    1    0    1    1    2    1    2  2.479554 0.962678 SUCCESS  61
010101011    1    1    1    2    1    2    0    1  2.479554 0.962678 SUCCESS  62
010101111    1    1    3    0    2    0    0    0  8.258638 0.408622 SUCCESS  63
010110011    2    0    0    1    1    1    1    1  3.174633 0.922925 SUCCESS  64
010110111    0    3    1    3    2    3    2    1 10.562327 0.227752 SUCCESS  65
010111011    2    2    1    3    1    2    1    2  4.978528 0.759869 SUCCESS  66
010111111    3    2    2    3    0    0    1    0 10.257817 0.247395 SUCCESS  67
011000111    2    1    3    2    2    0    1    1  5.673606 0.683739 SUCCESS  68
011001111    1    0    0    1    1    1    1    2  3.174633 0.922925 SUCCESS  69
011010111    1    1    2    2    2    0    1    0  4.174222 0.841072 SUCCESS  70
011011111    4    2    1    1    2    3    0    0 12.952074 0.113509 SUCCESS  71
011101111    1    3    0    4    1    0    0    1 13.147358 0.106879 SUCCESS  72
011111111    2    1    2    1    0    2    1    2  3.479143 0.900802 SUCCESS  73
100000000    4    1    2    0    3    2    0    1 12.952074 0.113509 SUCCESS  74
100010000    0    0    0    2    1    1    1    0  5.564380 0.695897 SUCCESS  75
100100000    2    1    1    1    5    0    1    1 14.146948 0.078015 SUCCESS  76
100101000    1    1    0    0    1    1    1    1  2.674838 0.953079 SUCCESS  77
100110000    0    0    1    1    1    0    3    1  6.563969 0.584321 SUCCESS  78
100111000    0    0    1    0    1    0    1    5 17.231774 0.027784 SUCCESS  79
101000000    2    1    1    2    1    3    2    1  4.478733 0.811557 SUCCESS  80
101000100    0    0    1    4    2    1    1    0 10.952895 0.204383 SUCCESS  81
101001000    2    1    2    1    2    5    0    1 15.146537 0.056358 SUCCESS  82
101001100    1    0    1    1    0    2    2    3  6.368685 0.606007 SUCCESS  83
101010000    4    0    1    2    0    1    2    2 10.757611 0.215815 SUCCESS  84
101010100    3    1    0    1    1    0    2    2  6.368685 0.606007 SUCCESS  85
101011000    3    1    0    0    1    1    2    1  5.868891 0.661915 SUCCESS  86
101011100    0    1    1    1    2    2    1    1  2.479554 0.962678 SUCCESS  87
101100000    1    0    0    1    1    3    2    0  7.063764 0.529769 SUCCESS  88
101100100    1    1    1    2    1    1    2    1  1.284680 0.995733 SUCCESS  89
101101000    1    1    2    1    1    1    1    2  1.284680 0.995733 SUCCESS  90
101101100    1    2    3    1    0    2    2    0  6.868480 0.550887 SUCCESS  91
101110000    0    1    1    2    1    0    1    1  3.174633 0.922925 SUCCESS  92
101110100    0    3    2    1    1    3    0    2  9.062943 0.337014 SUCCESS  93
101111000    0    1    2    0    2    1    0    2  5.369096 0.717496 SUCCESS  94
101111100    3    2    2    2    0    0    0    0  9.258227 0.320983 SUCCESS  95
110000000    1    1    2    0    2    0    1    2  4.174222 0.841072 SUCCESS  96
110000010    1    0    1    2    2    1    2    4  9.562738 0.297066 SUCCESS  97
110000100    0    2    0    0    0    0    1    2  7.259048 0.508959 SUCCESS  98
110001000    0    0    1    1    1    0    3    0  7.758843 0.457375 SUCCESS  99
110001010    3    0    1    3    1    1    0    2  8.563148 0.380476 SUCCESS 100
110010000    1    2    1    0    4    1    1    0  9.758022 0.282422 SUCCESS 101
110010010    1    1    2    0    2    0    1    2  4.174222 0.841072 SUCCESS 102
110010100    2    1    1    0    0    4    1    0 10.952895 0.204383 SUCCESS 103
110011000    1    1    1    4    1    1    2    2  7.868069 0.446463 SUCCESS 104
110011010    0    1    1    2    2    2    1    1  2.979349 0.935647 SUCCESS 105
